Company Name,Job Title,Location,Job URL,Company LinkedIn,Job Description snippet
Frimley Health NHS Foundation Trust,Early Years Nursery Assistant,"Slough, England, United Kingdom",https://www.linkedin.com/jobs/view/4388150964,https://uk.linkedin.com/company/frimley-health-nhs-foundation-trust,"Job OverviewWe are seeking a dedicated, compassionate individual to join our NHS day nursery team, providing high-quality care and support for young c..."
South London and Maudsley NHS Foundation Trust,Senior Business and Performance Manager,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4387823682,https://uk.linkedin.com/company/south-london-and-maudsley-nhs-foundation-trust,An exciting opportunity has arisen in the Lewisham and Addictions Directorate Leadership Team for a Senior Business & Performance Manager. The role is...
Ministry of Justice UK,Education and Awareness Lead (Ref: 16068),"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4389594758,https://uk.linkedin.com/company/uk-ministry-of-justice,"This position is based at 102 PETTY FRANCE (MOJ) LONDON, SW1H 9AJ, BRANSTON REGISTRY BURTON-ON-TRENT, DE14 3EG, MOJ JCC Jarrow Berkley Way, NE31 1SFJo..."
itsu,Team Member [FTC 6 Months],"Stansted, England, United Kingdom",https://www.linkedin.com/jobs/view/4389772629,https://uk.linkedin.com/company/itsu-cp,"We are itsu, the leading Asian-inspired quick-service retail and grocery brand with over 80 restaurants across the UK and Belgium, and a growing whole..."
University College London Hospitals NHS Foundation Trust,Clinical Trial Coordinator,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4388373221,https://uk.linkedin.com/company/uclh-nhs-foundation-trust,"UCLH, one of London’s key cancer centres, is seeking to recruit a Clinical Trials Coordinator on a 12-month fixed-term contract to support a growing n..."
Portico,Receptionist,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4388093675,https://uk.linkedin.com/company/porticoclientservices,"Portico is defined by our unique culture – One that rewards hard work and dedication, empowers people to grow, with the belief that work should be fun..."
London Borough of Richmond upon Thames,Tribunal Case Officer,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4389720724,https://uk.linkedin.com/showcase/london-borough-of-richmond-upon-thames/,"Special Needs Assessment Service£37,602 – £45,564 per annumPermanentFull Time (36 hours)Wandsworth, LondonThis is a public‑facing role and home workin..."
JPMorganChase,Business Assistant,"Greater London, England, United Kingdom",https://www.linkedin.com/jobs/view/4388231913,https://www.linkedin.com/company/jpmorganchase,"Job DescriptionStep into a pivotal role at the Global Corporate Bank, where your expertise will drive business success. As a Business Assistant, you w..."
SecurityHQ,Business Support Administrator,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4389205504,https://uk.linkedin.com/company/securityhq,"Job DescriptionWe’re looking for a proactive, highly organized Business Support Administrator to join our London office in a newly created part‑time r..."
Pasta Evangelists,Restaurant Team Member (New Queensway Restaurant!),"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4387898099,https://uk.linkedin.com/company/pastaevangelists,Department: RestaurantsLocation: Queensway - RestaurantCompensation: £12.50 / hourDescriptionFull-time & Part-time roles availableWe are looking for a...
