Company Name,CEO Name,CEO Email,CEO Contact,Job Title,Location,Job URL,Company LinkedIn,Job Description
Signify Technology,NA,NA,NA,Adversarial Testers,"Harrow, England, United Kingdom",https://www.linkedin.com/jobs/view/4383905872,https://uk.linkedin.com/company/signify-technology,Job title: Adversarial Tester (Prompt Injection Specialist)Job type: ContractContract Length: 2 months + extensionsRate: 400-500 per day Outside IR35R...
Anson McCade,NA,NA,NA,Penetration Tester,"London Area, United Kingdom",https://www.linkedin.com/jobs/view/4387031427,https://uk.linkedin.com/company/anson-mccade,"Penetration Tester (CHECK Team Member)Location: London (Hybrid, 2–3 days onsite per week)Salary: Up to £65,000 (depending on experience) + benefitsNOT..."
Bridewell,NA,NA,NA,Penetration Tester,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4390112931,https://uk.linkedin.com/company/bridewellsec,"As a result of growth, we are looking for an experienced Penetration Tester with solid experience of infrastructure and web application testing to del..."
Handelsbanken,NA,NA,NA,QA Tester (Day rate Contract),"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4397076333,https://se.linkedin.com/company/handelsbanken,Job IntroductionHandelsbanken UK is embarking on a digital transformation programme to enhance the customer experience through increased choice and fl...
